Chr,Start,End,Value
1,1,100000,4749
1,100001,200000,4802
1,200001,300000,1799
1,300001,400000,3961
1,400001,500000,4405
1,500001,600000,4578
1,600001,700000,5795
1,700001,800000,5935
1,800001,900000,9984
1,900001,1000000,11794
1,1000001,1100000,11780
1,1100001,1200000,10353
1,1200001,1300000,11590
1,1300001,1400000,9335
1,1400001,1500000,9766
1,1500001,1600000,9346
1,1600001,1700000,8405
1,1700001,1800000,6649
1,1800001,1900000,9243
1,1900001,2000000,9819
1,2000001,2100000,10068
1,2100001,2200000,10076
1,2200001,2300000,10945
1,2300001,2400000,11341
1,2400001,2500000,12374
1,2500001,2600000,9127
1,2600001,2700000,2824
1,2700001,2800000,10305
1,2800001,2900000,10583
1,2900001,3000000,9290
1,3000001,3100000,10669
1,3100001,3200000,10032
1,3200001,3300000,9299
1,3300001,3400000,10209
1,3400001,3500000,11159
1,3500001,3600000,9707
1,3600001,3700000,10627
1,3700001,3800000,7370
1,3800001,3900000,3713
1,3900001,4000000,331
1,4000001,4100000,8237
1,4100001,4200000,8135
1,4200001,4300000,7117
1,4300001,4400000,7070
1,4400001,4500000,7150
1,4500001,4600000,6781
1,4600001,4700000,7100
1,4700001,4800000,8955
1,4800001,4900000,6920
1,4900001,5000000,6068
1,5000001,5100000,6035
1,5100001,5200000,4885
1,5200001,5300000,5567
1,5300001,5400000,6739
1,5400001,5500000,6660
1,5500001,5600000,7025
1,5600001,5700000,5827
1,5700001,5800000,7492
1,5800001,5900000,7768
1,5900001,6000000,7482
1,6000001,6100000,7908
1,6100001,6200000,9807
1,6200001,6300000,8820
1,6300001,6400000,9627
1,6400001,6500000,8423
1,6500001,6600000,9341
1,6600001,6700000,8654
1,6700001,6800000,6415
1,6800001,6900000,5914
1,6900001,7000000,6250
1,7000001,7100000,7470
1,7100001,7200000,7357
1,7200001,7300000,6449
1,7300001,7400000,6327
1,7400001,7500000,7613
1,7500001,7600000,8643
1,7600001,7700000,8630
1,7700001,7800000,8237
1,7800001,7900000,4953
1,7900001,8000000,5857
1,8000001,8100000,6025
1,8100001,8200000,5830
1,8200001,8300000,7391
1,8300001,8400000,7162
1,8400001,8500000,6583
1,8500001,8600000,5272
1,8600001,8700000,4351
1,8700001,8800000,4634
1,8800001,8900000,5198
1,8900001,9000000,6662
1,9000001,9100000,7280
1,9100001,9200000,6843
1,9200001,9300000,7428
1,9300001,9400000,8820
1,9400001,9500000,8308
1,9500001,9600000,7133
1,9600001,9700000,7899
1,9700001,9800000,8114
1,9800001,9900000,6967
1,9900001,10000000,7529
1,10000001,10100000,6601
1,10100001,10200000,5763
1,10200001,10300000,6101
1,10300001,10400000,5107
1,10400001,10500000,6698
1,10500001,10600000,6251
1,10600001,10700000,6688
1,10700001,10800000,10758
1,10800001,10900000,8421
1,10900001,11000000,8085
1,11000001,11100000,7747
1,11100001,11200000,7527
1,11200001,11300000,5905
1,11300001,11400000,7518
1,11400001,11500000,7341
1,11500001,11600000,8673
1,11600001,11700000,7533
1,11700001,11800000,8730
1,11800001,11900000,8434
1,11900001,12000000,7973
1,12000001,12100000,8425
1,12100001,12200000,7729
1,12200001,12300000,9100
1,12300001,12400000,5310
1,12400001,12500000,5248
1,12500001,12600000,6147
1,12600001,12700000,8130
1,12700001,12800000,6419
1,12800001,12900000,6154
1,12900001,13000000,6184
1,13000001,13100000,3285
1,13100001,13200000,6146
1,13200001,13300000,1376
1,13300001,13400000,5335
1,13400001,13500000,6516
1,13500001,13600000,3788
1,13600001,13700000,6095
1,13700001,13800000,6890
1,13800001,13900000,6602
1,13900001,14000000,6061
1,14000001,14100000,5404
1,14100001,14200000,6428
1,14200001,14300000,6408
1,14300001,14400000,5752
1,14400001,14500000,5802
1,14500001,14600000,5518
1,14600001,14700000,5325
1,14700001,14800000,5616
1,14800001,14900000,5538
1,14900001,15000000,6574
1,15000001,15100000,6760
1,15100001,15200000,7125
1,15200001,15300000,7749
1,15300001,15400000,8191
1,15400001,15500000,7611
1,15500001,15600000,6586
1,15600001,15700000,6884
1,15700001,15800000,7607
1,15800001,15900000,6323
1,15900001,16000000,6040
1,16000001,16100000,8804
1,16100001,16200000,6938
1,16200001,16300000,6292
1,16300001,16400000,9620
1,16400001,16500000,9255
1,16500001,16600000,7874
1,16600001,16700000,6018
1,16700001,16800000,7440
1,16800001,16900000,6616
1,16900001,17000000,6759
1,17000001,17100000,7471
1,17100001,17200000,3384
1,17200001,17300000,8350
1,17300001,17400000,7887
1,17400001,17500000,8024
1,17500001,17600000,8668
1,17600001,17700000,7653
1,17700001,17800000,7943
1,17800001,17900000,8448
1,17900001,18000000,9959
1,18000001,18100000,8739
1,18100001,18200000,7471
1,18200001,18300000,7293
1,18300001,18400000,7133
1,18400001,18500000,8094
1,18500001,18600000,7597
1,18600001,18700000,7869
1,18700001,18800000,6640
1,18800001,18900000,6859
1,18900001,19000000,8130
1,19000001,19100000,8088
1,19100001,19200000,7667
1,19200001,19300000,8505
1,19300001,19400000,7367
1,19400001,19500000,5759
1,19500001,19600000,6111
1,19600001,19700000,8346
1,19700001,19800000,6645
1,19800001,19900000,6300
1,19900001,20000000,7208
1,20000001,20100000,7577
1,20100001,20200000,6283
1,20200001,20300000,6510
1,20300001,20400000,6005
1,20400001,20500000,7821
1,20500001,20600000,6382
1,20600001,20700000,7893
1,20700001,20800000,6957
1,20800001,20900000,7390
1,20900001,21000000,7369
1,21000001,21100000,7515
1,21100001,21200000,5185
1,21200001,21300000,4512
1,21300001,21400000,4549
1,21400001,21500000,4874
1,21500001,21600000,7385
1,21600001,21700000,8164
1,21700001,21800000,6511
1,21800001,21900000,7739
1,21900001,22000000,9689
1,22000001,22100000,5401
1,22100001,22200000,8494
1,22200001,22300000,8688
1,22300001,22400000,7238
1,22400001,22500000,8042
1,22500001,22600000,8813
1,22600001,22700000,7556
1,22700001,22800000,6402
1,22800001,22900000,7003
1,22900001,23000000,8549
1,23000001,23100000,8282
1,23100001,23200000,8344
1,23200001,23300000,7561
1,23300001,23400000,5803
1,23400001,23500000,5470
1,23500001,23600000,6859
1,23600001,23700000,5155
1,23700001,23800000,7123
1,23800001,23900000,7410
1,23900001,24000000,7220
1,24000001,24100000,7007
1,24100001,24200000,6957
1,24200001,24300000,6330
1,24300001,24400000,6779
1,24400001,24500000,8246
1,24500001,24600000,6809
1,24600001,24700000,7141
1,24700001,24800000,6022
1,24800001,24900000,6265
1,24900001,25000000,6191
1,25000001,25100000,6810
1,25100001,25200000,6089
1,25200001,25300000,8627
1,25300001,25400000,8266
1,25400001,25500000,6557
