Chr,Start,End,Value
1,1,1000000,11.730894646541671
1,1000001,2000000,15.25970648979631
1,2000001,3000000,14.909564990810871
1,3000001,4000000,14.35583283207869
1,4000001,5000000,13.990192622332925
1,5000001,6000000,13.471294170667273
1,6000001,7000000,14.563017473748218
1,7000001,8000000,13.66478058593351
1,8000001,9000000,14.416995396494416
1,9000001,10000000,15.215267550986578
1,10000001,11000000,14.121938166331798
1,11000001,12000000,14.306702554934203
1,12000001,13000000,14.33196659442361
1,13000001,14000000,14.080234603689968
1,14000001,15000000,15.014674348515408
1,15000001,16000000,14.314937219063342
1,16000001,17000000,14.454106475802908
1,17000001,18000000,14.540067480937712
1,18000001,19000000,14.176251079967246
1,19000001,20000000,14.511937919487844
1,20000001,21000000,14.1869653642586
1,21000001,22000000,14.544541894961224
1,22000001,23000000,14.858223885348341
1,23000001,24000000,14.44585548305998
1,24000001,25000000,14.612580574436814
1,25000001,26000000,14.497540017501725
1,26000001,27000000,14.186036839662824
1,27000001,28000000,14.404143679680782
1,28000001,29000000,14.684036300175796
1,29000001,30000000,14.273722763417663
1,30000001,31000000,14.493730383570345
1,31000001,32000000,14.670932812915106
1,32000001,33000000,14.996870651857797
1,33000001,34000000,14.390907852524089
1,34000001,35000000,13.195833549955587
1,35000001,36000000,14.671928003831246
1,36000001,37000000,14.738356194609771
1,37000001,38000000,14.212876311733654
1,38000001,39000000,14.504012024398087
1,39000001,40000000,14.034713003448283
1,40000001,41000000,14.205564183524455
1,41000001,42000000,15.348555274931535
1,42000001,43000000,14.041915775225847
1,43000001,44000000,14.841908273534177
1,44000001,45000000,14.377278324615245
1,45000001,46000000,14.091352736440117
1,46000001,47000000,15.422229057911217
1,47000001,48000000,13.92916592522139
1,48000001,49000000,14.253773635071035
1,49000001,50000000,12.254142846855748
1,50000001,51000000,12.93939556018156
1,51000001,52000000,14.248149951327756
1,52000001,53000000,14.308267917629676
1,53000001,54000000,14.16451415352772
1,54000001,55000000,14.047720366381519
1,55000001,56000000,13.243025182994154
1,56000001,57000000,12.743361806865865
1,57000001,58000000,13.380866867456533
1,58000001,59000000,14.448245388310358
1,59000001,60000000,13.110646427577821
1,60000001,61000000,11.664891669286089
1,61000001,62000000,13.343879685849876
1,62000001,63000000,13.496728971380707
1,63000001,64000000,13.895101879573849
1,64000001,65000000,14.146170877453079
1,65000001,66000000,12.936453910041177
1,66000001,67000000,12.770457424932022
1,67000001,68000000,12.895385939898507
1,68000001,69000000,13.128799890845384
1,69000001,70000000,11.782588759494963
1,70000001,71000000,12.471421196424862
1,71000001,72000000,12.772108342052116
1,72000001,73000000,12.170238052336648
1,73000001,74000000,12.144339591247839
1,74000001,75000000,12.850382205652151
1,75000001,76000000,13.586722529048373
1,76000001,77000000,11.798066720363062
1,77000001,78000000,14.032304066091834
1,78000001,79000000,12.068442416025826
1,79000001,80000000,12.389362455643884
1,80000001,81000000,13.56045225766691
1,81000001,82000000,12.924998023446696
1,82000001,83000000,12.032390168866524
1,83000001,84000000,12.798269274949691
1,84000001,85000000,13.445661533333144
1,85000001,86000000,12.929073435876813
1,86000001,87000000,13.00158412208535
1,87000001,88000000,13.822869535883957
1,88000001,89000000,13.183790434946514
1,89000001,90000000,13.46007187739759
1,90000001,91000000,12.34568244818678
1,91000001,92000000,13.466713778648694
1,92000001,93000000,14.68074410301241
1,93000001,94000000,14.042941813347129
1,94000001,95000000,13.088953827817909
1,95000001,96000000,12.101647450030766
1,96000001,97000000,12.59128857924609
1,97000001,98000000,12.368233611380942
1,98000001,99000000,13.668109371537899
1,99000001,100000000,13.944986520293032
1,100000001,101000000,13.24272753598652
1,101000001,102000000,14.391981935708698
1,102000001,103000000,12.613559277788264
1,103000001,104000000,13.32656992956981
1,104000001,105000000,12.840581250560753
1,105000001,106000000,12.56724310527944
1,106000001,107000000,13.578608560737752
